frequency,callsign,state,city,erp,lat,lon,hagl,class,slogan,owner,country,new_format,mlb,nfl,nba,nhl,market,population
107.1,CJCS-FM,ON,Stratford,4.0,43.364444444444445,-80.96055555555556,61.0,A,107.1 CJCS-FM,Vista Radio Ltd                         ,CAN,Classic Hits,Blue Jays,,,,,
90.5,CJMB-FM,ON,Peterborough,0.175,44.29388888888889,-78.35499999999999,52.0,A1,FREQ,My Broadcasting Corporation             ,CAN,Rock,Blue Jays,,,,,
95.7,CJNI-FM,NS,Halifax,65.0,44.65083333333333,-63.65694444444444,207.0,C1,CITY NEWS 957,Rogers Media Inc                        ,CAN,News,Blue Jays,,,,,
101.7,CKER-FM,AB,Edmonton,100.0,53.53194444444444,-113.78138888888888,256.0,C,CONNECT FM,Akash Broadcasting Inc.                 ,CAN,Ethnic,Blue Jays,,,,,
92.1,K221GU,MN,CROOKSTON,0.25,47.93136111111111,-97.04313888888888,55.0,D,KROX 105.7 FM & 1260 AM,GOPHER COMMUNICATIONS COMPANY,USA,Adult Contemporary,Twins,Vikings,Timberwolves,Wild,Grand Forks,"78,200"
92.3,K222CT,MO,SPRINGFIELD,0.25,37.21033333333334,-93.27213888888888,103.0,D,KICK 92.3,"VISION COMMUNICATIONS, INC.",USA,Talk,Royals,,,,"Springfield, MO","367,800"
92.3,K222DC,TX,WACO,0.25,31.537583333333338,-97.0924722222222,126.0,D,ESPN CENTRAL TEXAS BAYLOR,"M&M Broadcasters, Ltd., Debtor-in-Possession",USA,Sports,Rangers,Cowboys,,,Waco,"218,700"
92.3,K222DM,KS,LIBERAL,0.15,37.05302777777778,-100.941,26.0,D,FULL SERVICE 1430,"SEWARD COUNTY BROADCASTING CO., INC.",USA,Talk,Royals,,,,,
92.3,K222DP,KS,LARNED,0.25,38.165,-99.10166666666666,83.0,D,"LARNED’S NEWS, SPORTS AND CLASSIC HITS","AD ASTRA PER ASPERA BROADCASTING, INC",USA,Classic Hits,Royals,,,,,
92.7,K224FQ,KS,COFFEYVILLE,0.04,37.03633333333333,-95.61955555555556,7.0,D,KGGF NEWS RADIO 690 AM,"SEK MEDIA, LLC",USA,News,Royals,Chiefs,,,,
92.9,K225CJ,WA,WALLA WALLA,0.115,45.989555555555555,-118.17633333333332,38.0,D,KGDC RADIO,"TWO HEARTS COMMUNICATIONS, LLC",USA,News,Mariners,,,,,
92.9,K225DF,CA,NEEDLES,0.25,35.098083333333335,-114.52630555555557,31.0,D,K-TOX 13-40 AND 104.1,"RUBIN BROADCASTING, INC.",USA,Talk,Angels,,,Golden Knights,,
93.1,K226CA,MN,DETROIT LAKES,0.25,46.83719444444445,-95.8381111111111,91.0,D,KDLM-AM 1340 AM - 93.1 FM - 96.9 FM,"LEIGHTON ENTERPRISES, INC.",USA,Classic Hits,Twins,Vikings,Timberwolves,Wild,,
93.1,K226CV,MN,GRAND RAPIDS,0.25,47.33938888888889,-93.39686111111112,125.0,D,ALL CLASSICS ALL THE TIME AM 1320 - 93.1 FM,Rapids Radio LLC,USA,Oldies,Twins,,Timberwolves,Wild,,
93.1,K226DA,CO,YUMA,0.25,40.02444444444444,-102.66666666666669,84.0,D,FARM RADIO,NORTHEAST COLORADO BROADCASTING LLC,USA,Talk,Rockies,Broncos,Nuggets,Avalanche,,
93.3,K227BU,WY,DOUGLAS,0.15,42.7605,-105.40247222222224,11.0,D,"CLASSICS 93.3FM AM1470, KKTY","DOUGLAS BROADCASTING, INC.",USA,Classic Hits,Rockies,Broncos,,,,
93.3,K227CQ,OK,BARTLESVILLE,0.25,36.73452777777778,-95.85497222222222,120.0,D,KWON AM 1400 FM 93.3,"KCD ENTERPRISES, INC.",USA,Talk,Cardinals,Cowboys,,,,
93.3,K227CX,KS,MANHATTAN,0.25,39.22611111111112,-96.61694444444444,107.0,D,NEWS-TALK 1350,"MANHATTAN BROADCASTING COMPANY, INC.",USA,News,Royals,Chiefs,,,Salina-Manhattan,
93.3,K227DF,MN,THIEF RIVER FALLS,0.25,48.129694444444446,-96.18669444444444,52.0,D,THE INFORMATION STATION,"IOWA CITY BROADCASTING COMPANY, INC.",USA,Talk,Twins,,Timberwolves,,,
93.3,K227DO,IA,KEOKUK,0.25,40.380833333333335,-91.3522222222222,100.0,D,93.3 & 1310 KOKX,"KEOKUK BROADCASTING, INC.",USA,Country,Cardinals,,,,,
93.5,K228FZ,CO,STERLING,0.25,40.5325,-103.12327777777776,52.0,D,FARM RADIO,NORTHEAST COLORADO BROADCASTING LLC,USA,Talk,Rockies,Broncos,Nuggets,Avalanche,,
93.7,K229CW,KS,WAMEGO,0.25,39.21080555555556,-96.35275,58.0,D,NEWS-TALK 1350,"MANHATTAN BROADCASTING COMPANY, INC.",USA,News,Royals,Chiefs,,,,
93.7,K229DI,OR,Corvallis,0.12,44.59377777777778,-123.2261388888889,52.0,D,JOE RADIO AM 1240,"Bicoastal Media Licenses V, LLC",USA,Talk,Mariners,Raiders,,,,
93.7,K229DK,TX,COLLEGE STATION,0.25,30.687833333333337,-96.42566666666669,137.0,D,THE ZONE 1150 AM 93.7 FM,BRYAN BROADCASTING LICENSE CORPORATION,USA,Sports,Astros,Texans,,,Bryan-College Station,"218,900"
93.9,K230BS,TX,STEPHENVILLE,0.25,32.18311111111111,-98.28711111111112,131.0,D,FIESTA 1510/93.9 FM,VILLECOM LLC,USA,Regional Mexican,Rangers,,,,,
93.9,K230CD,CO,BURLINGTON,0.25,39.29472222222222,-102.26083333333334,75.0,D,THE PEOPLE'S CHOICE,"KNAB, INC.",USA,Adult Standards,Rockies,Broncos,,,,
94.1,K231BM,MO,POPLAR BLUFF,0.25,36.766444444444446,-90.48122222222224,61.0,D,THE STORM 97.5,EAGLE BLUFF ENTERPRISES,USA,Country,Cardinals,,,,,
94.1,K231BQ,CO,GOLDEN,0.25,39.73302777777778,-105.23719444444444,22.0,D,KOA NEWS RADIO 850 AM AND 94.1 FM,iHeartMedia,USA,News,Rockies,Broncos,,,Denver-Boulder,"2,843,100"
94.1,K231CV,ND,FARGO,0.25,46.819138888888894,-96.76591666666668,94.0,D,THE MIGHTY 790 AM/94.1 FM/104.7 FM,"MIDWEST COMMUNICATIONS, INC.",USA,Talk,Twins,Vikings,,Wild,Fargo-Moorhead,"216,700"
94.3,K232AD,CO,ROARING FORK,0.034,39.423027777777776,-107.3758611111111,21.0,D,,PITKIN COUNTY TRANSLATOR DEPARTMENT,USA,Talk,Rockies,Broncos,Nuggets,Avalanche,,
94.3,K232EI,AZ,LAKE HAVASU CITY,0.25,34.55,-114.19466666666668,6.0,D,SPORTS 980,,USA,Sports,Diamondbacks,AZCardinals,Suns,,,
94.3,K232FH,MN,BRECKENRIDGE,0.25,46.263305555555554,-96.60897222222222,19.0,D,THE VOICE OF THE VALLEY,"I3G MEDIA, LLC",USA,Country,Twins,,,,,
94.3,K232FJ,KS,HAYS,0.25,38.92222222222222,-99.3536111111111,139.0,D,1400 KAYS,"Eagle Communications, Inc.",USA,Oldies,Royals,,,,,
94.5,K233CO,NE,OMAHA,0.25,41.25333333333333,-96.11919444444445,73.0,D,BOOMER RADIO,"HICKORY RADIO, LLC",USA,Oldies,Cubs,,,,Omaha-Council Bluffs,"748,200"
