frequency,callsign,state,city,erp,lat,lon,hagl,class,slogan,owner,country,new_format,mlb,nfl,nba,nhl,market,population
90.5,CKSL-FM,MB,Swan Lake First Nati,0.015,49.38472222222222,-98.8386111111111,76.2,LP,,SWAN LAKE FIRST NATION                  ,CAN,,,,Jazz,,,
92.1,K221GU,MN,CROOKSTON,0.25,47.93136111111111,-97.04313888888888,55.0,D,KROX 105.7 FM & 1260 AM,GOPHER COMMUNICATIONS COMPANY,USA,Adult Contemporary,Twins,Vikings,Timberwolves,Wild,Grand Forks,"78,200"
92.5,K223DJ,OR,PRINEVILLE,0.25,44.07766666666667,-121.33127777777776,12.0,D,92.5 THE TICKET,HORIZON BROADCASTING GROUP LLC,USA,Sports,,,Trail Blazers,,,
93.1,K226CA,MN,DETROIT LAKES,0.25,46.83719444444445,-95.8381111111111,91.0,D,KDLM-AM 1340 AM - 93.1 FM - 96.9 FM,"LEIGHTON ENTERPRISES, INC.",USA,Classic Hits,Twins,Vikings,Timberwolves,Wild,,
93.1,K226CL,ND,FARGO,0.25,46.81747222222223,-96.80230555555556,130.0,D,NEWS TALK 970 WDAY,Bakken Beacon Media LLC,USA,Talk,,,Timberwolves,,Fargo-Moorhead,"216,700"
93.1,K226CV,MN,GRAND RAPIDS,0.25,47.33938888888889,-93.39686111111112,125.0,D,ALL CLASSICS ALL THE TIME AM 1320 - 93.1 FM,Rapids Radio LLC,USA,Oldies,Twins,,Timberwolves,Wild,,
93.1,K226DA,CO,YUMA,0.25,40.02444444444444,-102.66666666666669,84.0,D,FARM RADIO,NORTHEAST COLORADO BROADCASTING LLC,USA,Talk,Rockies,Broncos,Nuggets,Avalanche,,
93.3,K227DF,MN,THIEF RIVER FALLS,0.25,48.129694444444446,-96.18669444444444,52.0,D,THE INFORMATION STATION,"IOWA CITY BROADCASTING COMPANY, INC.",USA,Talk,Twins,,Timberwolves,,,
93.5,K228FU,CA,BARSTOW,0.018,34.91222222222222,-117.02833333333334,59.0,D,1230 AM,Dos Costas Communications Corporation,USA,Talk,,,Lakers,,Victor Valley,"482,000"
93.5,K228FY,MN,ROCHESTER,0.25,44.00333333333333,-92.48527777777778,60.0,D,"93-5 FM AND 1270 AM, THE FAN",iHeartMedia,USA,Sports,,,Timberwolves,,"Rochester, MN","173,400"
93.5,K228FZ,CO,STERLING,0.25,40.5325,-103.12327777777776,52.0,D,FARM RADIO,NORTHEAST COLORADO BROADCASTING LLC,USA,Talk,Rockies,Broncos,Nuggets,Avalanche,,
94.3,K232AD,CO,ROARING FORK,0.034,39.423027777777776,-107.3758611111111,21.0,D,,PITKIN COUNTY TRANSLATOR DEPARTMENT,USA,Talk,Rockies,Broncos,Nuggets,Avalanche,,
94.3,K232EI,AZ,LAKE HAVASU CITY,0.25,34.55,-114.19466666666668,6.0,D,SPORTS 980,,USA,Sports,Diamondbacks,AZCardinals,Suns,,,
94.3,K232FW,OR,TILLAMOOK,0.25,45.45677777777778,-123.87263888888889,43.0,D,THE MOOK 94.3 & 1590,"ALEXANDRA COMMUNICATIONS, INC.",USA,Oldies,,,Trail Blazers,,,
94.3,K232GE,TX,GEORGETOWN,0.057,30.59186111111111,-97.67916666666667,60.0,D,AM 1010,AMERICAN BROADCASTING OF TEXAS,USA,Talk,,,Mavericks,,,
94.5,K233CM,CA,PETALUMA,0.057,38.33602777777778,-122.53538888888887,18.0,D,KSRO NEWSTALK 1350 AM,"AMATURO SONOMA MEDIA GROUP, LLC",USA,News,,,Warriors,,San Francisco,"6,737,900"
94.7,K234CY,LA,ALEXANDRIA,0.25,31.306944444444444,-92.40333333333334,160.0,D,ESPN 1410,"CENLA BROADCASTING LICENSING COMPANY, LLC",USA,Sports,Astros,,Pelicans,,,
95.1,K236CO,MN,NORTHFIELD,0.25,44.48663888888889,-93.1055,87.0,D,THE ONE 95.1 FM - 1080 AM,"R.R. Larson & Associates, LLC",USA,Variety,Twins,,Timberwolves,,Minneapolis-Saint Paul,
