frequency,callsign,state,city,erp,lat,lon,hagl,class,slogan,owner,country,new_format,mlb,nfl,nba,nhl,market,population
92.1,K221GU,MN,CROOKSTON,0.25,47.93136111111111,-97.04313888888888,55.0,D,KROX 105.7 FM & 1260 AM,GOPHER COMMUNICATIONS COMPANY,USA,Adult Contemporary,Twins,Vikings,Timberwolves,Wild,Grand Forks,"78,200"
92.3,K222DC,TX,WACO,0.25,31.537583333333338,-97.0924722222222,126.0,D,ESPN CENTRAL TEXAS BAYLOR,"M&M Broadcasters, Ltd., Debtor-in-Possession",USA,Sports,Rangers,Cowboys,,,Waco,"218,700"
92.5,K223DG,AK,SOLDOTNA,0.25,60.52330555555555,-151.05861111111113,45.0,D,NEWS-TALK 920 & 92.5 FM,"KSRM Radio Group, Inc.",USA,Talk,,Seahawks,,,,
92.7,K224DT,WY,WHEATLAND,0.25,42.05716666666667,-104.96386111111111,25.0,D,KICKIN COUNTRY 1340,"SMITH BROADCASTING, INC.",USA,Country,,Broncos,,,,
92.7,K224DZ,CA,QUINCY,0.25,39.94016666666666,-120.92966666666668,9.0,D,93 JDX,SIERRA BROADCASTING CORPORATION,USA,Country,,49ers,,,,
92.7,K224FQ,KS,COFFEYVILLE,0.04,37.03633333333333,-95.61955555555556,7.0,D,KGGF NEWS RADIO 690 AM,"SEK MEDIA, LLC",USA,News,Royals,Chiefs,,,,
93.1,K226CA,MN,DETROIT LAKES,0.25,46.83719444444445,-95.8381111111111,91.0,D,KDLM-AM 1340 AM - 93.1 FM - 96.9 FM,"LEIGHTON ENTERPRISES, INC.",USA,Classic Hits,Twins,Vikings,Timberwolves,Wild,,
93.1,K226DA,CO,YUMA,0.25,40.02444444444444,-102.66666666666669,84.0,D,FARM RADIO,NORTHEAST COLORADO BROADCASTING LLC,USA,Talk,Rockies,Broncos,Nuggets,Avalanche,,
93.3,K227BQ,NE,GRAND ISLAND,0.25,40.86472222222223,-98.39672222222222,94.0,D,AM 1430 KRGI,"LEGACY COMMUNICATIONS, LLC",USA,Talk,,Chiefs,,,Grand Island-Kearney-Hastings,"120,700"
93.3,K227BU,WY,DOUGLAS,0.15,42.7605,-105.40247222222224,11.0,D,"CLASSICS 93.3FM AM1470, KKTY","DOUGLAS BROADCASTING, INC.",USA,Classic Hits,Rockies,Broncos,,,,
93.3,K227CQ,OK,BARTLESVILLE,0.25,36.73452777777778,-95.85497222222222,120.0,D,KWON AM 1400 FM 93.3,"KCD ENTERPRISES, INC.",USA,Talk,Cardinals,Cowboys,,,,
93.3,K227CX,KS,MANHATTAN,0.25,39.22611111111112,-96.61694444444444,107.0,D,NEWS-TALK 1350,"MANHATTAN BROADCASTING COMPANY, INC.",USA,News,Royals,Chiefs,,,Salina-Manhattan,
93.3,K227DQ,AK,KETCHIKAN,0.065,55.36055555555556,-131.79694444444445,12.0,D,,"ALASKA BROADCAST COMMUNICATIONS, INC.",USA,Adult Contemporary,,Seahawks,,,,
93.5,K228FZ,CO,STERLING,0.25,40.5325,-103.12327777777776,52.0,D,FARM RADIO,NORTHEAST COLORADO BROADCASTING LLC,USA,Talk,Rockies,Broncos,Nuggets,Avalanche,,
93.7,K229BW,CA,CHESTER,0.25,40.23902777777778,-121.03272222222222,4.0,D,93 JDX,SIERRA BROADCASTING CORPORATION,USA,Country,,49ers,,,,
93.7,K229CW,KS,WAMEGO,0.25,39.21080555555556,-96.35275,58.0,D,NEWS-TALK 1350,"MANHATTAN BROADCASTING COMPANY, INC.",USA,News,Royals,Chiefs,,,,
93.7,K229DI,OR,Corvallis,0.12,44.59377777777778,-123.2261388888889,52.0,D,JOE RADIO AM 1240,"Bicoastal Media Licenses V, LLC",USA,Talk,Mariners,Raiders,,,,
93.7,K229DK,TX,COLLEGE STATION,0.25,30.687833333333337,-96.42566666666669,137.0,D,THE ZONE 1150 AM 93.7 FM,BRYAN BROADCASTING LICENSE CORPORATION,USA,Sports,Astros,Texans,,,Bryan-College Station,"218,900"
93.9,K230CB,IA,MARSHALLTOWN,0.25,42.0225,-92.99944444444444,92.0,D,NEWS TALK 1230 KFJB,"TRENDING MEDIA, INC.",USA,News,,Bears,,,,
93.9,K230CD,CO,BURLINGTON,0.25,39.29472222222222,-102.26083333333334,75.0,D,THE PEOPLE'S CHOICE,"KNAB, INC.",USA,Adult Standards,Rockies,Broncos,,,,
94.1,K231BQ,CO,GOLDEN,0.25,39.73302777777778,-105.23719444444444,22.0,D,KOA NEWS RADIO 850 AM AND 94.1 FM,iHeartMedia,USA,News,Rockies,Broncos,,,Denver-Boulder,"2,843,100"
94.1,K231CV,ND,FARGO,0.25,46.819138888888894,-96.76591666666668,94.0,D,THE MIGHTY 790 AM/94.1 FM/104.7 FM,"MIDWEST COMMUNICATIONS, INC.",USA,Talk,Twins,Vikings,,Wild,Fargo-Moorhead,"216,700"
